,Method,Beam Type,L/h,k,result
0,ASDBT,C-C,5,0.0,10.0944
322,ASDBT,S-S,30,0.0,2.844
323,ASDBT,S-S,100,0.0,2.849
240,ASDBT,C-F,20,5.0,1.30332
116,ASDBT,S-S,20,0.5,4.65165
115,ASDBT,S-S,5,0.5,4.41222
114,ASDBT,C-F,20,0.5,1.66049
113,ASDBT,C-F,5,0.5,1.61848
112,ASDBT,C-C,20,0.5,10.4297
111,ASDBT,C-C,5,0.5,8.7653
92,ASDBT,C-C,100,0.3,6.214
91,ASDBT,C-C,30,0.3,6.177
90,ASDBT,C-C,10,0.3,5.884
89,ASDBT,C-F,100,0.3,0.977
88,ASDBT,C-F,30,0.3,0.976
87,ASDBT,C-F,10,0.3,0.97
86,ASDBT,S-S,100,0.3,2.742
85,ASDBT,S-S,30,0.3,2.738
84,ASDBT,S-S,10,0.3,2.702
47,ASDBT,S-S,20,0.2,5.08292
321,ASDBT,S-S,10,0.0,2.804
46,ASDBT,S-S,5,0.2,4.81053
153,ASDBT,C-C,5,1.0,7.96695
155,ASDBT,C-F,5,1.0,1.46357
239,ASDBT,C-F,5,5.0,1.25889
238,ASDBT,C-C,20,5.0,8.1428
237,ASDBT,C-C,5,5.0,6.49186
242,ASDBT,S-S,20,5.0,3.64832
200,ASDBT,S-S,20,2.0,3.83617
199,ASDBT,S-S,5,2.0,3.62671
198,ASDBT,C-F,20,2.0,1.36957
197,ASDBT,C-F,5,2.0,1.33268
196,ASDBT,C-C,20,2.0,8.59775
195,ASDBT,C-C,5,2.0,7.18839
279,ASDBT,C-C,5,10.0,6.17594
280,ASDBT,C-C,20,10.0,7.88558
281,ASDBT,C-F,5,10.0,1.21843
282,ASDBT,C-F,20,10.0,1.26453
283,ASDBT,S-S,5,10.0,3.28134
284,ASDBT,S-S,20,10.0,3.53896
158,ASDBT,S-S,20,1.0,4.20515
157,ASDBT,S-S,5,1.0,3.99139
156,ASDBT,C-F,20,1.0,1.50106
154,ASDBT,C-C,20,1.0,9.43242
45,ASDBT,C-F,20,0.2,1.81464
241,ASDBT,S-S,5,5.0,3.39905
43,ASDBT,C-C,20,0.2,11.3884
42,ASDBT,C-C,5,0.2,9.48737
